t (s),q (W/m^2)
0.000,-0.00000000e+00
0.125,-2.11532092e+03
0.250,-3.34969684e+03
0.375,-4.39359763e+03
0.500,-5.33324397e+03
0.625,-6.20365255e+03
0.750,-7.02327713e+03
0.875,-7.80325719e+03
1.000,-8.55090427e+03
1.125,-9.27129224e+03
1.250,-9.96807892e+03
1.375,-1.06439699e+04
1.500,-1.13009985e+04
1.625,-1.19407037e+04
1.750,-1.25642487e+04
1.875,-1.31725015e+04
2.000,-1.37660929e+04
2.125,-1.43454584e+04
2.250,-1.49108694e+04
2.375,-1.54624571e+04
2.500,-1.60002316e+04
2.625,-1.65240966e+04
2.750,-1.70338623e+04
2.875,-1.75292554e+04
3.000,-1.80099286e+04
3.125,-1.84754687e+04
3.250,-1.89254043e+04
3.375,-1.93592126e+04
3.500,-1.97763260e+04
3.625,-2.01761392e+04
3.750,-2.05580157e+04
3.875,-2.09212939e+04
4.000,-2.12652944e+04
4.125,-2.15893264e+04
4.250,-2.18926948e+04
4.375,-2.21747072e+04
4.500,-2.24346815e+04
4.625,-2.26719526e+04
4.750,-2.28858809e+04
4.875,-2.30758592e+04
5.000,-2.32413210e+04
5.125,-2.33817482e+04
5.250,-2.34966790e+04
5.375,-2.35857157e+04
5.500,-2.36485326e+04
5.625,-2.36848836e+04
5.750,-2.36946100e+04
5.875,-2.36776471e+04
6.000,-2.36340317e+04
6.125,-2.35639084e+04
6.250,-2.34675355e+04
6.375,-2.33452910e+04
6.500,-2.31976770e+04
6.625,-2.30253239e+04
6.750,-2.28289942e+04
6.875,-2.26095849e+04
7.000,-2.23681290e+04
7.125,-2.21057964e+04
7.250,-2.18238932e+04
7.375,-2.15238603e+04
7.500,-2.12072709e+04
7.625,-2.08758262e+04
7.750,-2.05313503e+04
7.875,-2.01757837e+04
8.000,-1.98111755e+04
8.125,-1.94396741e+04
8.250,-1.90635167e+04
8.375,-1.86850174e+04
8.500,-1.83065541e+04
8.625,-1.79305540e+04
8.750,-1.75594784e+04
8.875,-1.71958052e+04
9.000,-1.68420118e+04
9.125,-1.65005562e+04
9.250,-1.61738572e+04
9.375,-1.58642746e+04
9.500,-1.55740883e+04
9.625,-1.53054770e+04
9.750,-1.50604972e+04
9.875,-1.48410619e+04
10.000,-1.46489194e+04
10.125,-1.44856325e+04
10.250,-1.43525590e+04
10.375,-1.42508322e+04
10.500,-1.41813429e+04
10.625,-1.41447231e+04
10.750,-1.41413305e+04
10.875,-1.41712356e+04
11.000,-1.42342105e+04
11.125,-1.43297200e+04
11.250,-1.44569151e+04
11.375,-1.46146293e+04
11.500,-1.48013782e+04
11.625,-1.50153609e+04
11.750,-1.52544661e+04
11.875,-1.55162802e+04
12.000,-1.57980996e+04
12.125,-1.60969456e+04
12.250,-1.64095835e+04
12.375,-1.67325446e+04
12.500,-1.70621511e+04
12.625,-1.73945455e+04
12.750,-1.77257213e+04
12.875,-1.80515579e+04
13.000,-1.83678575e+04
13.125,-1.86703843e+04
13.250,-1.89549060e+04
13.375,-1.92172364e+04
13.500,-1.94532801e+04
13.625,-1.96590769e+04
13.750,-1.98308474e+04
13.875,-1.99650378e+04
14.000,-2.00583648e+04
14.125,-2.01078581e+04
14.250,-2.01109024e+04
14.375,-2.00652760e+04
14.500,-1.99691869e+04
14.625,-1.98213057e+04
14.750,-1.96207942e+04
14.875,-1.93673292e+04
15.000,-1.90611221e+04
15.125,-1.87029322e+04
15.250,-1.82940748e+04
15.375,-1.78364229e+04
15.500,-1.73324023e+04
15.625,-1.67849800e+04
15.750,-1.61976463e+04
15.875,-1.55743893e+04
16.000,-1.49196631e+04
16.125,-1.42383491e+04
16.250,-1.35357105e+04
16.375,-1.28173413e+04
16.500,-1.20891085e+04
16.625,-1.13570902e+04
16.750,-1.06275079e+04
16.875,-9.90665537e+03
17.000,-9.20082421e+03
17.125,-8.51622676e+03
17.250,-7.85891781e+03
17.375,-7.23471561e+03
17.500,-6.64912341e+03
17.625,-6.10725266e+03
17.750,-5.61374882e+03
17.875,-5.17272096e+03
18.000,-4.78767620e+03
18.125,-4.46146014e+03
18.250,-4.19620425e+03
18.375,-3.99328122e+03
18.500,-3.85326915e+03
18.625,-3.77592550e+03
18.750,-3.76017141e+03
18.875,-3.80408698e+03
19.000,-3.90491810e+03
19.125,-4.05909498e+03
19.250,-4.26226262e+03
19.375,-4.50932317e+03
19.500,-4.79449006e+03
19.625,-5.11135332e+03
19.750,-5.45295581e+03
19.875,-5.81187932e+03
20.000,-6.18033989e+03
